Date,Open,High,Low,Close,Adj Close,Volume
2019-03-05,1287.000000,1287.000000,1282.000000,1282.000000,1282.000000,114
2019-03-06,1287.099976,1287.099976,1282.599976,1284.900024,1284.900024,14
2019-03-07,1281.000000,1284.599976,1281.000000,1283.800049,1283.800049,11
2019-03-08,1292.099976,1297.400024,1291.599976,1297.000000,1297.000000,10
2019-03-11,1291.000000,1291.000000,1288.800049,1288.800049,1288.800049,9
2019-03-12,1294.699951,1296.300049,1294.699951,1296.300049,1296.300049,1
2019-03-13,1307.500000,1307.500000,1307.500000,1307.500000,1307.500000,0
2019-03-14,1293.400024,1293.400024,1293.400024,1293.400024,1293.400024,1
2019-03-15,1300.900024,1304.699951,1300.500000,1301.800049,1301.800049,26
2019-03-18,1297.300049,1302.199951,1297.300049,1300.300049,1300.300049,8
2019-03-19,1306.900024,1306.900024,1304.800049,1305.000000,1305.000000,20
2019-03-20,1300.699951,1300.699951,1300.500000,1300.500000,1300.500000,2
2019-03-21,1306.099976,1306.099976,1306.099976,1306.099976,1306.099976,0
2019-03-22,1311.599976,1311.599976,1311.599976,1311.599976,1311.599976,0
2019-03-25,1320.699951,1322.900024,1320.699951,1321.900024,1321.900024,19
2019-03-26,1315.599976,1315.599976,1314.300049,1314.300049,1314.300049,1
2019-03-27,1309.900024,1309.900024,1309.900024,1309.900024,1309.900024,206263
2019-03-28,1308.400024,1311.099976,1287.699951,1289.800049,1289.800049,87798
2019-03-29,1289.599976,1298.500000,1286.099976,1293.000000,1293.000000,1265
2019-04-01,1291.800049,1295.900024,1285.699951,1288.400024,1288.400024,675
2019-04-02,1286.300049,1290.900024,1284.500000,1290.000000,1290.000000,525
2019-04-03,1291.400024,1293.099976,1287.500000,1289.900024,1289.900024,172
2019-04-04,1290.599976,1292.599976,1279.500000,1289.000000,1289.000000,269
2019-04-05,1292.000000,1292.000000,1283.599976,1290.400024,1290.400024,181
2019-04-08,1292.199951,1302.099976,1291.800049,1297.099976,1297.099976,63
2019-04-09,1298.500000,1304.900024,1298.500000,1303.500000,1303.500000,30
